"Region","AgeStart","AgeEnd","p_code","a_code","Ri"
"Afghanistan",0,14,4,"AFG",6
"Albania",0,14,8,"ALB",0
"Algeria",0,14,12,"DZA",1
"Angola",0,14,24,"AGO",0
"Azerbaijan",0,14,31,"AZE",0
"Argentina",0,14,32,"ARG",0
"Australia",0,14,36,"AUS",0
"Austria",0,14,40,"AUT",0
"Bahamas",0,14,44,"BHS",0
"Bahrain",0,14,48,"BHR",0
"Bangladesh",0,14,50,"BGD",3
"Armenia",0,14,51,"ARM",0
"Barbados",0,14,52,"BRB",0
"Belgium",0,14,56,"BEL",0
"Bhutan",0,14,64,"BTN",0
"Bolivia (Plurinational State of)",0,14,68,"BOL",0
"Bosnia Herzegovina",0,14,70,"BIH",0
"Botswana",0,14,72,"BWA",0
"Brazil",0,14,76,"BRA",19
"Belize",0,14,84,"BLZ",0
"Solomon Islands",0,14,90,"SLB",0
"Brunei Darussalam",0,14,96,"BRN",0
"Bulgaria",0,14,100,"BGR",0
"Myanmar",0,14,104,"MMR",0
"Burundi",0,14,108,"BDI",1
"Belarus",0,14,112,"BLR",0
"Cambodia",0,14,116,"KHM",0
"Cameroon",0,14,120,"CMR",1
"Canada",0,14,124,"CAN",0
"Cape Verde",0,14,132,"CPV",0
"Central African Republic",0,14,140,"CAF",1
"Sri Lanka",0,14,144,"LKA",0
"Chad",0,14,148,"TCD",0
"Chile",0,14,152,"CHL",0
"China",0,14,156,"CHN",35
"Colombia",0,14,170,"COL",0
"Comoros",0,14,174,"COM",0
"Congo, Republic of",0,14,178,"COG",0
"Congo, Democratic Republic of",0,14,180,"COD",5
"Costa Rica",0,14,188,"CRI",0
"Croatia",0,14,191,"HRV",0
"Cuba",0,14,192,"CUB",0
"Cyprus",0,14,196,"CYP",0
"Czechia",0,14,203,"CZE",0
"Benin",0,14,204,"BEN",0
"Denmark",0,14,208,"DNK",0
"Dominican Republic",0,14,214,"DOM",0
"Ecuador",0,14,218,"ECU",1
"El Salvador",0,14,222,"SLV",0
"Equatorial Guinea",0,14,226,"GNQ",0
"Ethiopia",0,14,231,"ETH",14
"Eritrea",0,14,232,"ERI",1
"Estonia",0,14,233,"EST",0
"Fiji",0,14,242,"FJI",0
"Finland",0,14,246,"FIN",0
"France (metropolitan)",0,14,250,"FRA",0
"French Guyana",0,14,254,"GUF",0
"French Polynesia",0,14,258,"PYF",0
"Djibouti",0,14,262,"DJI",0
"Gabon",0,14,266,"GAB",0
"Georgia",0,14,268,"GEO",0
"The Republic of the Gambia",0,14,270,"GMB",0
"Gaza Strip and West Bank",0,14,275,"PSE",0
"Germany",0,14,276,"DEU",0
"Ghana",0,14,288,"GHA",0
"Greece",0,14,300,"GRC",0
"France, Guadeloupe",0,14,312,"GLP",0
"Guam",0,14,316,"GUM",0
"Guatemala",0,14,320,"GTM",0
"Guinea",0,14,324,"GIN",3
"Guyana",0,14,328,"GUY",0
"Haiti",0,14,332,"HTI",0
"Honduras",0,14,340,"HND",0
"Hungary",0,14,348,"HUN",0
"Iceland",0,14,352,"ISL",0
"India",0,14,356,"IND",16
"Indonesia",0,14,360,"IDN",0
"Iran, Islamic Republic of",0,14,364,"IRN",0
"Iraq",0,14,368,"IRQ",0
"Ireland",0,14,372,"IRL",0
